image_name,object_class,vehicle_lat,vehicle_lon,vehicle_heading_deg,target_range_m,target_azimuth_deg,target_lat,target_lon,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,split
00001.xml,human body,18.922,72.8347,90,15.56,21.01,18.92195,72.834838,726,429,776,500,UATD Training
00002.xml,human body,18.922,72.834738,90,15.28,22.68,18.921947,72.834872,712,418,828,492,UATD Training
00003.xml,human body,18.922,72.834776,90,15.06,23.12,18.921947,72.834907,698,423,852,472,UATD Training
00004.xml,human body,18.922,72.834814,90,12.08,15.82,18.92197,72.834924,646,301,738,390,UATD Training
00005.xml,human body,18.922,72.834852,90,11.67,16.08,18.921971,72.834958,634,281,756,382,UATD Training
00006.xml,human body,18.922,72.83489,90,10.51,15.82,18.921974,72.834986,642,242,742,341,UATD Training
00007.xml,human body,18.922,72.834928,90,17.77,1.67,18.921995,72.835096,480,504,582,576,UATD Training
00008.xml,human body,18.922,72.834966,90,17.01,-4.75,18.922013,72.835127,410,477,506,551,UATD Training
00009.xml,human body,18.922,72.835004,90,15.54,-6.33,18.922015,72.83515,394,406,486,522,UATD Training
00010.xml,human body,18.922,72.835042,90,15.77,-4.57,18.922011,72.835191,428,419,492,525,UATD Training
00011.xml,human body,18.922,72.83508,90,15.69,-5.54,18.922014,72.835228,408,432,490,506,UATD Training
00012.xml,human body,18.922,72.835118,90,15.91,-3.78,18.922009,72.835268,434,444,504,509,UATD Training
00013.xml,human body,18.922,72.835156,90,16.46,-2.9,18.922008,72.835312,444,464,514,527,UATD Training
00014.xml,human body,18.922,72.835194,90,16.26,-2.9,18.922007,72.835348,440,456,518,521,UATD Training
00015.xml,human body,18.922,72.835232,90,16.74,-3.78,18.92201,72.83539,412,473,526,537,UATD Training
00016.xml,human body,18.922,72.83527,90,14.65,6.15,18.921986,72.835408,546,369,618,498,UATD Training
00017.xml,human body,18.922,72.835308,90,15.61,2.72,18.921993,72.835456,498,416,588,517,UATD Training
00018.xml,human body,18.922,72.835346,90,16.8,5.98,18.921984,72.835504,510,461,650,553,UATD Training
00019.xml,human body,18.922,72.835383,90,17.66,4.75,18.921987,72.835551,528,501,604,572,UATD Training
00020.xml,human body,18.922,72.835421,90,19.03,-2.55,18.922008,72.835602,456,539,510,628,UATD Training
00021.xml,human body,18.922,72.835459,90,18.93,0.88,18.921997,72.835639,490,543,554,617,UATD Training
00022.xml,human body,18.922,72.835497,90,17.89,-1.67,18.922005,72.835667,458,506,528,583,UATD Training
00023.xml,human body,18.922,72.835535,90,17.85,-5.62,18.922016,72.835704,396,515,500,571,UATD Training
00024.xml,human body,18.922,72.835573,90,18.3,-2.55,18.922007,72.835747,426,525,540,592,UATD Training
00025.xml,human body,18.922,72.835611,90,18.01,1.58,18.921996,72.835782,462,514,598,582,UATD Training
00026.xml,human body,18.922,72.835649,90,17.15,-4.13,18.922011,72.835812,418,481,512,556,UATD Training
00027.xml,human body,18.922,72.835687,90,17.56,-1.32,18.922004,72.835854,448,500,546,565,UATD Training
00028.xml,human body,18.922,72.835725,90,18.07,-0.18,18.922,72.835897,464,511,556,589,UATD Training
00029.xml,human body,18.922,72.835763,90,18.24,-1.05,18.922003,72.835936,448,521,552,592,UATD Training
00030.xml,human body,18.922,72.835801,90,19.22,-1.93,18.922006,72.835984,464,556,516,624,UATD Training
00031.xml,human body,18.922,72.835839,90,18.77,-2.81,18.922008,72.836017,450,546,510,603,UATD Training
00032.xml,human body,18.922,72.835877,90,19.2,-0.09,18.922,72.836059,482,554,540,625,UATD Training
00033.xml,human body,18.922,72.835915,90,18.96,1.58,18.921995,72.836095,498,543,562,619,UATD Training
00034.xml,human body,18.922,72.835953,90,18.61,1.67,18.921995,72.83613,496,533,566,605,UATD Training
00035.xml,human body,18.922,72.835991,90,17.71,-3.69,18.92201,72.836159,440,498,500,579,UATD Training
00036.xml,human body,18.922,72.836029,90,18.3,-1.93,18.922006,72.836203,432,525,548,592,UATD Training
00037.xml,human body,18.922,72.836067,90,15.91,-4.13,18.92201,72.836218,418,436,512,517,UATD Training
00038.xml,human body,18.922,72.836105,90,16.18,-4.75,18.922012,72.836258,426,449,490,523,UATD Training
00039.xml,human body,18.922,72.836143,90,16.1,-5.54,18.922014,72.836295,416,440,482,526,UATD Training
00040.xml,human body,18.922,72.836181,90,15.85,-4.48,18.922011,72.836331,440,441,482,508,UATD Training
00041.xml,human body,18.922,72.836219,90,15.72,-3.96,18.92201,72.836368,434,436,500,504,UATD Training
00042.xml,human body,18.922,72.836257,90,16.08,-8.53,18.922022,72.836408,386,444,444,521,UATD Training
00043.xml,human body,18.922,72.836295,90,15.98,-8,18.92202,72.836445,392,443,450,515,UATD Training
00044.xml,human body,18.922,72.836333,90,15.64,-6.86,18.922017,72.83648,406,429,462,506,UATD Training
00045.xml,human body,18.922,72.836371,90,15.96,-9.05,18.922023,72.83652,380,444,438,513,UATD Training
00046.xml,human body,18.922,72.836409,90,15.73,-7.82,18.922019,72.836557,392,433,454,508,UATD Training
00047.xml,human body,18.922,72.836447,90,15.8,-8.35,18.922021,72.836595,386,432,448,514,UATD Training
00048.xml,human body,18.922,72.836485,90,15.45,-8.26,18.92202,72.83663,392,428,444,494,UATD Training
00049.xml,human body,18.922,72.836523,90,15.89,-8,18.92202,72.836672,396,437,446,515,UATD Training
00050.xml,human body,18.922,72.836561,90,16.02,-10.46,18.922026,72.83671,370,440,416,521,UATD Training
00051.xml,human body,18.922,72.836599,90,15.61,-8.79,18.922022,72.836745,392,427,432,506,UATD Training
00052.xml,human body,18.922,72.836637,90,15.61,-8.61,18.922021,72.836783,390,420,438,513,UATD Training
00053.xml,human body,18.922,72.836675,90,15.54,-9.05,18.922022,72.83682,386,427,432,501,UATD Training
00054.xml,human body,18.922,72.836713,90,15.44,-8.88,18.922022,72.836857,390,424,432,497,UATD Training
00055.xml,human body,18.922,72.83675,90,15.1,-9.14,18.922022,72.836892,386,404,430,494,UATD Training
00056.xml,human body,18.922,72.836788,90,14.88,-9.67,18.922023,72.836928,370,395,434,488,UATD Training
00057.xml,human body,18.922,72.836826,90,15.13,-9.32,18.922022,72.836968,376,408,436,492,UATD Training
00058.xml,human body,18.922,72.836864,90,14.9,-8.26,18.922019,72.837004,390,403,446,481,UATD Training
00059.xml,human body,18.922,72.836902,90,14.93,-9.67,18.922023,72.837042,378,410,426,476,UATD Training
00060.xml,human body,18.922,72.83694,90,15.12,-9.4,18.922022,72.837082,382,414,428,485,UATD Training
00061.xml,human body,18.922,72.836978,90,15.19,-8.26,18.92202,72.837121,392,414,444,490,UATD Training
00062.xml,human body,18.922,72.837016,90,15.07,-9.84,18.922023,72.837157,374,407,426,489,UATD Training
00063.xml,human body,18.922,72.837054,90,15.23,-8.17,18.92202,72.837197,398,419,440,488,UATD Training
00064.xml,human body,18.922,72.837092,90,14.87,-8.7,18.92202,72.837232,384,404,442,478,UATD Training
00065.xml,human body,18.922,72.83713,90,15.38,-8.88,18.922021,72.837274,390,427,432,490,UATD Training
00066.xml,human body,18.922,72.837168,90,15.67,-8.09,18.92202,72.837315,384,431,456,506,UATD Training
00067.xml,human body,18.922,72.837206,90,15.51,-10.11,18.922025,72.837351,360,433,434,493,UATD Training
00068.xml,human body,18.922,72.837244,90,16.01,-7.65,18.922019,72.837395,394,445,456,515,UATD Training
00069.xml,human body,18.922,72.837282,90,15.28,-7.91,18.922019,72.837426,394,416,450,494,UATD Training
00070.xml,human body,18.922,72.83732,90,15.31,-8.26,18.92202,72.837464,390,419,446,493,UATD Training
00071.xml,human body,18.922,72.837358,90,15.67,-7.47,18.922018,72.837506,398,431,456,506,UATD Training
00072.xml,human body,18.922,72.837396,90,15.64,-6.86,18.922017,72.837543,402,439,466,496,UATD Training
00073.xml,human body,18.922,72.837434,90,14.83,-7.47,18.922017,72.837574,398,402,456,477,UATD Training
00074.xml,human body,18.922,72.837472,90,15.72,-6.86,18.922017,72.83762,406,432,462,508,UATD Training
00075.xml,human body,18.922,72.83751,90,15.21,-6.86,18.922016,72.837653,406,416,462,489,UATD Training
00076.xml,human body,18.922,72.837548,90,15.16,-7.73,18.922018,72.837691,396,420,452,482,UATD Training
